long,lat,date,apn,address,city,zip,units
-118.22393,34.12218,2022-12-01T00:00:00Z,,4237 N EAGLE ROCK BLVD,Los Angeles,90065,1
-118.30173,34.08826,2022-12-06T00:00:00Z,,968 N ARDMORE AVE,Los Angeles,90029,2
-118.46214,33.9924,2020-01-22T00:00:00Z,4241015022,714  E PALMS  BLVD,Los Angeles,90291,2
-118.259323,34.001675,2002-12-01T00:00:00Z,,932 E 46TH,Los Angeles,,5
-118.38081,34.05529,2013-10-29T00:00:00Z,,1215 S BEDFORD ST 1-6,Los Angeles,90035,5
-118.366443,34.070374,2017-08-23T00:00:00Z,5511041018,8138  W 4TH  ST,Los Angeles,90048,2
-118.290136,33.947961,2019-02-22T00:00:00Z,6054001021,821  W 97TH  ST,Los Angeles,90044,3
-118.32722,34.08228,2022-03-25T00:00:00Z,,617  N ROSSMORE  AVE,Los Angeles,90004,6
-118.27061,33.98163,2019-12-18T00:00:00Z,6006013024,231  E 64TH  ST,Los Angeles,90003,3
-118.34018,34.04445,2022-04-08T00:00:00Z,5071020028,4712 W 17TH ST,Los Angeles,90019,2
-118.40041,34.05563,2003-08-01T00:00:00Z,,1526 S CAMDEN,Los Angeles,,2
-118.28687,33.96949,2016-05-02T00:00:00Z,,740  W 77TH  ST,Los Angeles,,2
-118.27375,33.98399,2021-07-06T00:00:00Z,,6106  S MAIN  ST,Los Angeles,90003,6
-118.31199,34.01489,2006-05-01T00:00:00Z,,1731 W 39TH,Los Angeles,,2
-118.28819,33.98959,2018-07-18T00:00:00Z,5001015006,828  W 58TH  ST,Los Angeles,90037,3
-118.36738,34.14843,2004-02-01T00:00:00Z,,10901 W WHIPPLE,Los Angeles,,32
-118.37639,33.95062,2006-12-01T00:00:00Z,,9407 S ISIS,Los Angeles,,8
-118.45672,34.04422,2022-03-18T00:00:00Z,,11706  W OHIO  AVE,Los Angeles,90025,4
-118.44441,34.03027,2023-08-28T00:00:00Z,,128  S BOYLE  AVE,Los Angeles,90033,3
-118.281309,34.062366,2001-06-01T00:00:00Z,,2518 W OCEAN VIEW,Los Angeles,,6
-118.384684,34.074661,2004-04-01T00:00:00Z,,116 S CLARK,Los Angeles,,4
-118.29889,33.98998,2021-07-19T00:00:00Z,,1327  W 58TH  ST,Los Angeles,90037,2
-118.212012,34.041732,2018-04-25T00:00:00Z,5183013010,2310  E 3RD  ST,Los Angeles,90033,2
-118.268883,33.98415,2019-02-11T00:00:00Z,6006024012,316  E 61ST  ST,Los Angeles,90003,2
-118.26772,33.98597,2020-02-05T00:00:00Z,6006028017,350  E 59TH  PL,Los Angeles,90003,2
-118.37762,33.949,2006-12-01T00:00:00Z,,9628 S AVIATION,Los Angeles,,8
-118.35019,34.08655,2013-02-28T00:00:00Z,,843 N FULLER AVE,Los Angeles,90046,3
-118.36679,34.16365,2021-07-15T00:00:00Z,,10823  W HARTSOOK  ST,Los Angeles,91601,3
-118.48226,34.303046,2006-04-01T00:00:00Z,,15241 W ROXFORD,Los Angeles,,3
-118.29984,34.0482,2021-07-19T00:00:00Z,,1228  S NORMANDIE  AVE,Los Angeles,90006,2
-118.26535,33.98138,2021-07-27T00:00:00Z,,6401  S AVALON  BLVD,Los Angeles,90003,1
-118.28599,33.732,2004-06-01T00:00:00Z,,1315 S MESA,Los Angeles,,2
-118.26041,34.02572,2005-08-01T00:00:00Z,,621 E 22ND,Los Angeles,,4
-118.30585,33.78854,2006-05-01T00:00:00Z,,1647 259TH,Los Angeles,,3
-118.27806,34.02358,2012-06-21T00:00:00Z,,516 W 31ST ST,Los Angeles,90007,24
-118.33714,34.09506,2002-04-01T00:00:00Z,,1322 N MCCADDEN,Los Angeles,,2
-118.28615,33.93883,2005-08-01T00:00:00Z,,636 W 107TH,Los Angeles,,2
-118.38513,34.07578,2013-03-19T00:00:00Z,,115 N CLARK DR,Los Angeles,90048,4
-118.47735,33.99314,2015-03-17T00:00:00Z,,38  E SUNSET  AVE,Los Angeles,90291,3
-118.28739,34.05417,2006-12-01T00:00:00Z,,944 S ELDEN,Los Angeles,,6
-118.282844,33.737085,2014-08-07T00:00:00Z,,262  W 8TH  ST,Los Angeles,90731,11
-118.304865,34.033756,2018-11-05T00:00:00Z,5058021017,1859  W 25TH  ST,Los Angeles,90018,2
-118.27492,33.96719,2004-06-01T00:00:00Z,,127 W 80TH,Los Angeles,,2
-118.30922,34.01749,2006-05-01T00:00:00Z,,1601 W 38TH,Los Angeles,,4
-118.29492,34.067237,2017-04-18T00:00:00Z,5502011025,3582  W 4TH  ST,Los Angeles,90020,12
-118.386091,34.054217,2017-11-27T00:00:00Z,4305014014,8867  W ALCOTT  ST,Los Angeles,90035,3
-118.53722,34.23043,2018-09-12T00:00:00Z,2770017006,8760  N BAIRD  AVE,Los Angeles,91324,2
-118.29368,34.02007,2019-05-14T00:00:00Z,5040031032,1171  W 37TH  PL,Los Angeles,90007,2
-118.27422,33.97664,2006-09-01T00:00:00Z,,6923 S MAIN,Los Angeles,,1
-118.37176,33.95187,2005-07-01T00:00:00Z,,5261 W 93RD,Los Angeles,,2
-118.24403,34.06822,2006-12-01T00:00:00Z,,973 W FIGUEROA,Los Angeles,,2
-118.28683,34.04786,2013-12-16T00:00:00Z,,1245 S MAGNOLIA AVE,Los Angeles,90006,8
-118.26973,34.05033,2015-12-23T00:00:00Z,,1312  W 8TH  ST,Los Angeles,90017,5
